geoid,name,state,county,county_name,tract,population_acs5_2020,population_moe_acs5_2020,median_household_income_acs5_2020,median_household_income_moe_acs5_2020,incidents_2020,eligible_for_income_analysis,incidents_per_100k_2020
36005017901,"Census Tract 0179.01, Bronx County, New York",36,5,Bronx,17901,4955,924,40631,10190,0,True,0.0
36005017902,"Census Tract 0179.02, Bronx County, New York",36,5,Bronx,17902,3966,733,40236,15598,1,True,25.214321734745337
36005018101,"Census Tract 0181.01, Bronx County, New York",36,5,Bronx,18101,3451,736,44426,32685,2,True,57.954216169226314
36005018102,"Census Tract 0181.02, Bronx County, New York",36,5,Bronx,18102,5404,837,26289,12521,2,True,37.00962250185048
36005018301,"Census Tract 0183.01, Bronx County, New York",36,5,Bronx,18301,4490,551,41441,10539,1,True,22.271714922049
36005018302,"Census Tract 0183.02, Bronx County, New York",36,5,Bronx,18302,3503,644,48640,16955,1,True,28.546959748786755
36005018400,"Census Tract 0184.00, Bronx County, New York",36,5,Bronx,18400,3997,718,101823,17410,0,True,0.0
36005018501,"Census Tract 0185.01, Bronx County, New York",36,5,Bronx,18501,2764,574,38839,19311,2,True,72.3589001447178
36005018502,"Census Tract 0185.02, Bronx County, New York",36,5,Bronx,18502,6395,1025,22860,9880,8,True,125.09773260359655
36005018900,"Census Tract 0189.00, Bronx County, New York",36,5,Bronx,18900,8112,1204,29906,12099,2,True,24.65483234714004
36005019300,"Census Tract 0193.00, Bronx County, New York",36,5,Bronx,19300,6289,1039,32705,11204,3,True,47.70233741453331
36005019400,"Census Tract 0194.00, Bronx County, New York",36,5,Bronx,19400,2285,294,63816,3347,0,True,0.0
36005019500,"Census Tract 0195.00, Bronx County, New York",36,5,Bronx,19500,7097,1170,31365,6463,2,True,28.18092151613358
36005019700,"Census Tract 0197.00, Bronx County, New York",36,5,Bronx,19700,7126,884,23750,18655,0,True,0.0
36005019900,"Census Tract 0199.00, Bronx County, New York",36,5,Bronx,19900,7937,1083,33267,14884,3,True,37.797656545294195
