universe,event_date,categories,event_records,event_incidents,control_days,control_mean_incidents,paired_difference
CCC-recorded NYC political crowd days,2017-11-23,Political crowd day,1,1,1,0.0,1.0
CCC-recorded NYC political crowd days,2017-11-24,Political crowd day,1,3,4,1.25,1.75
CCC-recorded NYC political crowd days,2017-11-25,Political crowd day,1,1,1,5.0,-4.0
CCC-recorded NYC political crowd days,2017-11-27,Political crowd day,1,2,3,2.3333333333333335,-0.3333333333333335
CCC-recorded NYC political crowd days,2017-11-28,Political crowd day,1,1,1,2.0,-1.0
CCC-recorded NYC political crowd days,2017-12-02,Political crowd day,1,3,1,5.0,-2.0
CCC-recorded NYC political crowd days,2017-12-03,Political crowd day,1,3,4,1.75,1.25
CCC-recorded NYC political crowd days,2017-12-05,Political crowd day,1,0,1,2.0,-2.0
CCC-recorded NYC political crowd days,2017-12-08,Political crowd day,1,3,3,0.6666666666666666,2.3333333333333335
CCC-recorded NYC political crowd days,2017-12-09,Political crowd day,1,2,1,5.0,-3.0
CCC-recorded NYC political crowd days,2017-12-10,Political crowd day,1,2,4,1.75,0.25
CCC-recorded NYC political crowd days,2017-12-11,Political crowd day,1,1,2,3.5,-2.5
CCC-recorded NYC political crowd days,2017-12-12,Political crowd day,1,1,1,2.0,-1.0
CCC-recorded NYC political crowd days,2017-12-15,Political crowd day,1,3,2,1.0,2.0
CCC-recorded NYC political crowd days,2017-12-18,Political crowd day,1,3,2,3.5,-0.5
CCC-recorded NYC political crowd days,2017-12-19,Political crowd day,1,3,1,2.0,1.0
CCC-recorded NYC political crowd days,2017-12-22,Political crowd day,1,3,1,1.0,2.0
CCC-recorded NYC political crowd days,2017-12-29,Political crowd day,1,4,1,1.0,3.0
CCC-recorded NYC political crowd days,2018-01-03,Political crowd day,1,4,3,2.3333333333333335,1.6666666666666665
CCC-recorded NYC political crowd days,2018-01-05,Political crowd day,1,1,2,1.0,0.0
CCC-recorded NYC political crowd days,2018-01-07,Political crowd day,1,0,2,2.5,-2.5
CCC-recorded NYC political crowd days,2018-01-09,Political crowd day,1,3,2,2.5,0.5
CCC-recorded NYC political crowd days,2018-01-14,Political crowd day,1,5,2,2.5,2.5
CCC-recorded NYC political crowd days,2018-01-17,Political crowd day,1,0,3,2.3333333333333335,-2.3333333333333335
CCC-recorded NYC political crowd days,2018-01-19,Political crowd day,1,1,2,1.0,0.0
CCC-recorded NYC political crowd days,2018-01-20,Political crowd day,1,0,2,2.5,-2.5
CCC-recorded NYC political crowd days,2018-01-21,Political crowd day,1,2,3,2.0,0.0
CCC-recorded NYC political crowd days,2018-01-23,Political crowd day,1,2,2,2.5,-0.5
CCC-recorded NYC political crowd days,2018-01-26,Political crowd day,1,1,3,0.6666666666666666,0.33333333333333337
CCC-recorded NYC political crowd days,2018-01-27,Political crowd day,1,3,2,2.5,0.5
CCC-recorded NYC political crowd days,2018-01-30,Political crowd day,1,1,2,2.5,-1.5
CCC-recorded NYC political crowd days,2018-02-01,Political crowd day,1,0,1,0.0,0.0
CCC-recorded NYC political crowd days,2018-02-03,Political crowd day,1,0,2,2.5,-2.5
CCC-recorded NYC political crowd days,2018-02-06,Political crowd day,1,1,1,5.0,-4.0
CCC-recorded NYC political crowd days,2018-02-07,Political crowd day,1,0,4,2.0,-2.0
CCC-recorded NYC political crowd days,2018-02-08,Political crowd day,1,5,1,0.0,5.0
CCC-recorded NYC political crowd days,2018-02-09,Political crowd day,1,3,4,0.75,2.25
CCC-recorded NYC political crowd days,2018-02-10,Political crowd day,1,0,1,2.0,-2.0
CCC-recorded NYC political crowd days,2018-02-11,Political crowd day,1,0,4,1.75,-1.75
CCC-recorded NYC political crowd days,2018-02-13,Political crowd day,1,1,2,2.5,-1.5
CCC-recorded NYC political crowd days,2018-02-14,Political crowd day,1,0,3,2.3333333333333335,-2.3333333333333335
CCC-recorded NYC political crowd days,2018-02-15,Political crowd day,1,1,1,0.0,1.0
CCC-recorded NYC political crowd days,2018-02-16,Political crowd day,1,0,4,1.0,-1.0
CCC-recorded NYC political crowd days,2018-02-17,Political crowd day,1,2,1,3.0,-1.0
CCC-recorded NYC political crowd days,2018-02-19,Political crowd day,1,3,1,0.0,3.0
CCC-recorded NYC political crowd days,2018-02-20,Political crowd day,1,0,1,0.0,0.0
CCC-recorded NYC political crowd days,2018-02-21,Political crowd day,1,1,4,2.0,-1.0
CCC-recorded NYC political crowd days,2018-02-22,Political crowd day,1,1,1,0.0,1.0
CCC-recorded NYC political crowd days,2018-02-24,Political crowd day,1,2,1,3.0,-1.0
CCC-recorded NYC political crowd days,2018-02-25,Political crowd day,1,0,4,1.75,-1.75
CCC-recorded NYC political crowd days,2018-02-26,Political crowd day,1,1,2,0.5,0.5
CCC-recorded NYC political crowd days,2018-02-27,Political crowd day,1,3,1,0.0,3.0
CCC-recorded NYC political crowd days,2018-02-28,Political crowd day,1,4,3,1.3333333333333333,2.666666666666667
CCC-recorded NYC political crowd days,2018-03-03,Political crowd day,1,1,2,3.0,-2.0
CCC-recorded NYC political crowd days,2018-03-05,Political crowd day,1,3,3,0.3333333333333333,2.6666666666666665
CCC-recorded NYC political crowd days,2018-03-06,Political crowd day,1,2,1,0.0,2.0
CCC-recorded NYC political crowd days,2018-03-08,Political crowd day,1,1,1,0.0,1.0
CCC-recorded NYC political crowd days,2018-03-09,Political crowd day,1,2,4,1.5,0.5
CCC-recorded NYC political crowd days,2018-03-10,Political crowd day,1,2,2,3.0,-1.0
CCC-recorded NYC political crowd days,2018-03-11,Political crowd day,1,1,3,1.0,0.0
CCC-recorded NYC political crowd days,2018-03-12,Political crowd day,1,1,3,0.3333333333333333,0.6666666666666667
CCC-recorded NYC political crowd days,2018-03-14,Political crowd day,1,2,2,1.0,1.0
CCC-recorded NYC political crowd days,2018-03-15,Political crowd day,1,1,1,0.0,1.0
CCC-recorded NYC political crowd days,2018-03-18,Political crowd day,1,1,3,1.0,0.0
CCC-recorded NYC political crowd days,2018-03-20,Political crowd day,1,0,1,0.0,0.0
CCC-recorded NYC political crowd days,2018-03-22,Political crowd day,1,3,1,0.0,3.0
CCC-recorded NYC political crowd days,2018-03-23,Political crowd day,1,1,4,1.5,-0.5
CCC-recorded NYC political crowd days,2018-03-24,Political crowd day,1,4,3,2.3333333333333335,1.6666666666666665
CCC-recorded NYC political crowd days,2018-03-25,Political crowd day,1,2,2,1.0,1.0
CCC-recorded NYC political crowd days,2018-03-27,Political crowd day,1,0,1,0.0,0.0
CCC-recorded NYC political crowd days,2018-03-28,Political crowd day,1,2,2,1.0,1.0
CCC-recorded NYC political crowd days,2018-03-29,Political crowd day,1,1,1,0.0,1.0
CCC-recorded NYC political crowd days,2018-04-03,Political crowd day,1,1,1,0.0,1.0
CCC-recorded NYC political crowd days,2018-04-04,Political crowd day,1,1,2,1.0,0.0
CCC-recorded NYC political crowd days,2018-04-06,Political crowd day,1,0,2,2.5,-2.5
CCC-recorded NYC political crowd days,2018-04-07,Political crowd day,1,2,3,2.3333333333333335,-0.3333333333333335
CCC-recorded NYC political crowd days,2018-04-08,Political crowd day,1,0,2,2.5,-2.5
CCC-recorded NYC political crowd days,2018-04-09,Political crowd day,1,3,4,0.5,2.5
CCC-recorded NYC political crowd days,2018-04-10,Political crowd day,1,1,1,0.0,1.0
CCC-recorded NYC political crowd days,2018-04-11,Political crowd day,1,1,2,1.5,-0.5
CCC-recorded NYC political crowd days,2018-04-12,Political crowd day,1,2,1,1.0,1.0
CCC-recorded NYC political crowd days,2018-04-13,Political crowd day,1,4,2,2.5,1.5
CCC-recorded NYC political crowd days,2018-04-14,Political crowd day,1,3,3,2.3333333333333335,0.6666666666666665
CCC-recorded NYC political crowd days,2018-04-15,Political crowd day,1,1,3,2.3333333333333335,-1.3333333333333335
CCC-recorded NYC political crowd days,2018-04-16,Political crowd day,1,2,4,0.5,1.5
CCC-recorded NYC political crowd days,2018-04-18,Political crowd day,1,2,2,1.5,0.5
CCC-recorded NYC political crowd days,2018-04-19,Political crowd day,1,2,1,1.0,1.0
CCC-recorded NYC political crowd days,2018-04-20,Political crowd day,1,0,1,4.0,-4.0
CCC-recorded NYC political crowd days,2018-04-22,Political crowd day,1,2,3,2.3333333333333335,-0.3333333333333335
CCC-recorded NYC political crowd days,2018-04-23,Political crowd day,1,3,3,0.6666666666666666,2.3333333333333335
CCC-recorded NYC political crowd days,2018-04-25,Political crowd day,1,1,1,2.0,-1.0
CCC-recorded NYC political crowd days,2018-04-26,Political crowd day,1,1,2,1.5,-0.5
CCC-recorded NYC political crowd days,2018-04-27,Political crowd day,1,3,1,4.0,-1.0
CCC-recorded NYC political crowd days,2018-04-28,Political crowd day,1,1,3,2.3333333333333335,-1.3333333333333335
CCC-recorded NYC political crowd days,2018-04-29,Political crowd day,1,2,4,3.25,-1.25
CCC-recorded NYC political crowd days,2018-05-02,Political crowd day,1,4,1,2.0,2.0
CCC-recorded NYC political crowd days,2018-05-03,Political crowd day,1,1,2,1.5,-0.5
CCC-recorded NYC political crowd days,2018-05-05,Political crowd day,1,4,2,2.0,2.0
CCC-recorded NYC political crowd days,2018-05-07,Political crowd day,1,1,2,3.5,-2.5
CCC-recorded NYC political crowd days,2018-05-12,Political crowd day,1,1,2,2.0,-1.0
CCC-recorded NYC political crowd days,2018-05-14,Political crowd day,1,0,2,3.5,-3.5
CCC-recorded NYC political crowd days,2018-05-16,Political crowd day,1,2,1,2.0,0.0
CCC-recorded NYC political crowd days,2018-05-17,Political crowd day,1,2,2,1.5,0.5
CCC-recorded NYC political crowd days,2018-05-18,Political crowd day,1,1,1,0.0,1.0
CCC-recorded NYC political crowd days,2018-05-19,Political crowd day,1,3,2,2.0,1.0
CCC-recorded NYC political crowd days,2018-05-20,Political crowd day,1,4,4,4.5,-0.5
CCC-recorded NYC political crowd days,2018-05-21,Political crowd day,1,4,2,3.5,0.5
CCC-recorded NYC political crowd days,2018-05-23,Political crowd day,1,1,1,2.0,-1.0
CCC-recorded NYC political crowd days,2018-05-25,Political crowd day,1,4,1,0.0,4.0
CCC-recorded NYC political crowd days,2018-05-30,Political crowd day,1,2,2,1.5,0.5
CCC-recorded NYC political crowd days,2018-05-31,Political crowd day,1,0,2,1.5,-1.5
CCC-recorded NYC political crowd days,2018-06-01,Political crowd day,1,0,1,0.0,0.0
CCC-recorded NYC political crowd days,2018-06-02,Political crowd day,1,4,1,3.0,1.0
CCC-recorded NYC political crowd days,2018-06-03,Political crowd day,1,2,5,4.0,-2.0
CCC-recorded NYC political crowd days,2018-06-04,Political crowd day,1,0,3,2.6666666666666665,-2.6666666666666665
CCC-recorded NYC political crowd days,2018-06-05,Political crowd day,1,1,1,3.0,-2.0
CCC-recorded NYC political crowd days,2018-06-06,Political crowd day,1,1,2,1.5,-0.5
CCC-recorded NYC political crowd days,2018-06-07,Political crowd day,1,4,3,4.666666666666667,-0.666666666666667
CCC-recorded NYC political crowd days,2018-06-08,Political crowd day,1,2,2,1.5,0.5
CCC-recorded NYC political crowd days,2018-06-09,Political crowd day,1,4,2,2.0,2.0
CCC-recorded NYC political crowd days,2018-06-10,Political crowd day,1,1,5,4.4,-3.4000000000000004
CCC-recorded NYC political crowd days,2018-06-11,Political crowd day,1,2,3,2.6666666666666665,-0.6666666666666665
CCC-recorded NYC political crowd days,2018-06-12,Political crowd day,1,1,1,3.0,-2.0
CCC-recorded NYC political crowd days,2018-06-13,Political crowd day,1,4,1,1.0,3.0
CCC-recorded NYC political crowd days,2018-06-14,Political crowd day,1,2,3,4.333333333333333,-2.333333333333333
CCC-recorded NYC political crowd days,2018-06-16,Political crowd day,1,3,3,2.0,1.0
CCC-recorded NYC political crowd days,2018-06-18,Political crowd day,1,2,4,2.75,-0.75
CCC-recorded NYC political crowd days,2018-06-19,Political crowd day,1,4,1,3.0,1.0
CCC-recorded NYC political crowd days,2018-06-20,Political crowd day,1,1,1,1.0,0.0
CCC-recorded NYC political crowd days,2018-06-21,Political crowd day,1,4,4,3.5,0.5
CCC-recorded NYC political crowd days,2018-06-22,Political crowd day,1,3,4,2.25,0.75
CCC-recorded NYC political crowd days,2018-06-23,Political crowd day,1,4,3,2.0,2.0
CCC-recorded NYC political crowd days,2018-06-24,Political crowd day,1,4,6,4.666666666666667,-0.666666666666667
CCC-recorded NYC political crowd days,2018-06-26,Political crowd day,1,1,2,2.0,-1.0
CCC-recorded NYC political crowd days,2018-06-28,Political crowd day,1,2,3,4.0,-2.0
CCC-recorded NYC political crowd days,2018-06-29,Political crowd day,1,1,5,1.8,-0.8
CCC-recorded NYC political crowd days,2018-06-30,Political crowd day,1,5,2,1.5,3.5
CCC-recorded NYC political crowd days,2018-07-04,Political crowd day,1,1,2,1.5,-0.5
CCC-recorded NYC political crowd days,2018-07-09,Political crowd day,1,2,3,1.6666666666666667,0.33333333333333326
CCC-recorded NYC political crowd days,2018-07-10,Political crowd day,1,4,2,2.0,2.0
CCC-recorded NYC political crowd days,2018-07-11,Political crowd day,1,2,2,1.5,0.5
CCC-recorded NYC political crowd days,2018-07-17,Political crowd day,1,5,2,2.0,3.0
CCC-recorded NYC political crowd days,2018-07-18,Political crowd day,1,0,2,1.5,-1.5
CCC-recorded NYC political crowd days,2018-07-21,Political crowd day,1,2,4,3.0,-1.0
CCC-recorded NYC political crowd days,2018-07-23,Political crowd day,1,3,4,2.0,1.0
CCC-recorded NYC political crowd days,2018-07-26,Political crowd day,1,1,5,3.4,-2.4
